code,temperature_C,n_styrene_mol,n_sbuli_charged_mol,n_cyclohexane_mol,n_sbuli_eff_mol,time_min,time_s,Mn,conversion_living,is_full_conversion,exp_Mw
TW60,30,0.0255,7.35E-05,0.553707224,7.96E-05,10,600,7484,0.149003524,0,8300
TW60,30,0.0255,7.35E-05,0.553707224,7.96E-05,20,1200,12359,0.246062875,0,13943
TW60,30,0.0255,7.35E-05,0.553707224,7.96E-05,40,2400,20243,0.403030243,0,24490
TW60,30,0.0255,7.35E-05,0.553707224,7.96E-05,60,3600,25992,0.517490593,0,32442
TW60,30,0.0255,7.35E-05,0.553707224,7.96E-05,720,43200,50227,1,1,66657
TW62,30,0.0335,7.35E-05,0.727186312,8.10E-05,10,600,5520,0.111808791,0,6302
TW62,30,0.0335,7.35E-05,0.727186312,8.10E-05,20,1200,13221,0.267794207,0,15295
TW62,30,0.0335,7.35E-05,0.727186312,8.10E-05,40,2400,21685,0.439234353,0,29560
TW62,30,0.0335,7.35E-05,0.727186312,8.10E-05,60,3600,27618,0.559408548,0,42921
TW62,30,0.0335,7.35E-05,0.727186312,8.10E-05,720,43200,49370,1,1,49370
TW73,30,0.0641,7.58E-05,0.927994297,4.54E-05,10,600,6540,0.074220346,0,7299
TW73,30,0.0641,7.58E-05,0.927994297,4.54E-05,20,1200,13098,0.148644968,0,14314
TW73,30,0.0641,7.58E-05,0.927994297,4.54E-05,40,2400,23601,0.26784012,0,26460
TW73,30,0.0641,7.58E-05,0.927994297,4.54E-05,60,3600,32990,0.374392846,0,36954
TW73,30,0.0641,7.58E-05,0.927994297,4.54E-05,720,43200,88116,1,1,99583
TW75,30,0.0681,0.000141205,0.788973384,7.96E-05,10,600,10247,0.203997531,0,11109
TW75,30,0.0681,0.000141205,0.788973384,7.96E-05,20,1200,18890,0.376062591,0,21030
TW75,30,0.0681,0.000141205,0.788973384,7.96E-05,40,2400,29991,0.597061576,0,34188
TW75,30,0.0681,0.000141205,0.788973384,7.96E-05,60,3600,39322,0.782823356,0,45677
TW75,30,0.0681,0.000141205,0.788973384,7.96E-05,720,43200,50231,1,1,61537
TW78,20,0.08174359,0.000175687,0.947005703,8.25E-05,10,600,5603,0.115623517,0,6212
TW78,20,0.08174359,0.000175687,0.947005703,8.25E-05,20,1200,9987,0.206091748,0,10928
TW78,20,0.08174359,0.000175687,0.947005703,8.25E-05,40,2400,18175,0.375059329,0,20698
TW78,20,0.08174359,0.000175687,0.947005703,8.25E-05,60,3600,24294,0.501331022,0,27879
TW78,20,0.08174359,0.000175687,0.947005703,8.25E-05,720,43200,48459,1,1,55878
TW56,20,0.05033284,3.42E-05,1.093155894,3.30E-05,10,600,5205,0.042913678,0,5875
TW56,20,0.05033284,3.42E-05,1.093155894,3.30E-05,20,1200,9444,0.077862973,0,10754
TW56,20,0.05033284,3.42E-05,1.093155894,3.30E-05,40,2400,16751,0.138107016,0,21859
TW56,20,0.05033284,3.42E-05,1.093155894,3.30E-05,60,3600,22497,0.185481078,0,28336
TW56,20,0.05033284,3.42E-05,1.093155894,3.30E-05,720,43200,121290,1,1,207260
